Property_ID,City,Location,BHK,Bathrooms,Size_in_SqFt,Age_of_Property,Parking,Floor,Total_Floors,Furnishing,Distance_to_Metro_km,School_Rating,Hospital_Distance_km,Crime_Index,Price_in_Lakhs
1,Hyderabad,Gachibowli,3,3,1807,4,0,23,26,Furnished,1.5,3.6,0.5,3,207.1
2,Hyderabad,Miyapur,2,3,1125,14,2,27,30,Unfurnished,12.1,4.2,2.9,2.4,84.5
3,Chennai,OMR,1,2,499,11,2,8,24,Furnished,11,3.8,7.8,4.4,37.3
4,Chennai,Porur,2,1,946,21,1,9,29,Furnished,12.9,4.7,3.2,5.1,63.5
5,Bengaluru,Electronic City,3,3,1896,22,0,20,24,Unfurnished,11,2.9,3.2,9.9,125.8
6,Bengaluru,Electronic City,1,1,870,1,2,8,17,Unfurnished,13.7,3.9,5.8,2.9,60.7
7,Pune,Wakad,3,3,1855,23,2,18,28,Semi-Furnished,8.8,3.4,8,2.2,125.7
8,Hyderabad,Gachibowli,2,2,1711,21,3,2,24,Semi-Furnished,9,3.7,2.2,6,160.3
9,Hyderabad,Miyapur,3,3,1578,9,3,7,10,Unfurnished,10.9,4.3,7.8,7.9,103.2
10,Hyderabad,Kondapur,5,5,2876,11,1,16,22,Furnished,9.1,3.7,1.2,4.3,291.9
11,Chennai,Velachery,1,1,899,18,0,7,7,Furnished,14.7,3.8,1.3,6.9,58.1
12,Bengaluru,Electronic City,5,6,3117,17,1,9,27,Semi-Furnished,10.1,3.4,7.2,5.1,255
13,Hyderabad,Kondapur,1,1,751,7,0,0,7,Unfurnished,13.6,4.6,0.8,3.1,58.2
14,Bengaluru,Marathahalli,2,3,1148,25,3,13,30,Unfurnished,1.6,3.6,3.6,5.2,106.7
15,Hyderabad,Gachibowli,4,4,3439,3,1,3,11,Semi-Furnished,2.3,3,3.9,8.9,318.7
16,Hyderabad,Gachibowli,5,4,2632,24,1,6,10,Semi-Furnished,3.4,3.5,0.8,4.4,272.8
17,Chennai,Tambaram,3,4,2488,21,3,3,9,Unfurnished,14.5,3.9,4.5,7.7,112.3
18,Pune,Hadapsar,5,5,2482,16,0,1,10,Semi-Furnished,10.2,3.1,1.2,9,168.3
19,Hyderabad,Miyapur,1,2,786,18,2,3,13,Semi-Furnished,4.8,3.2,1.3,6.8,49
20,Hyderabad,Gachibowli,4,3,1950,17,1,8,21,Unfurnished,5.4,2.7,2.2,3.6,176.6
21,Chennai,Porur,5,4,3476,21,0,4,9,Unfurnished,1.8,3.9,2.4,6.4,216.8
22,Bengaluru,Electronic City,5,6,3278,1,0,13,25,Furnished,0.9,3.3,1.3,9.8,307.7
23,Pune,Hadapsar,4,3,2029,2,1,1,22,Furnished,8.8,2.9,1.3,3.8,170.2
24,Hyderabad,Kondapur,2,2,1582,3,2,17,29,Furnished,6.2,4.1,1.5,9.4,158
25,Bengaluru,Indiranagar,1,1,827,10,3,21,30,Furnished,12.2,3.2,6.4,2,99.6
26,Pune,Wakad,2,3,1258,9,1,0,12,Semi-Furnished,6.1,3.2,0.8,8,90
27,Pune,Hadapsar,3,2,1586,8,1,8,23,Unfurnished,9,3.4,6.4,4.9,109.3
28,Hyderabad,Kukatpally,5,5,3293,1,3,4,5,Furnished,8.2,4.3,6,7,277.3
29,Hyderabad,Kondapur,5,5,2760,23,2,9,21,Semi-Furnished,5,4.2,4.6,2.7,258.6
30,Pune,Wakad,5,5,3913,17,0,4,14,Unfurnished,11.8,4,2.8,5,250.1
31,Pune,Wakad,1,1,713,21,2,3,7,Semi-Furnished,3.5,3,0.5,3.2,47.5
32,Hyderabad,Kukatpally,4,4,3271,22,3,12,20,Unfurnished,9.9,2.5,6.1,7.9,193.5
